"ID";"Perioden";"TotaalAanbod_1";"WinningUitDeBodem_2";"ProductieUitAndereBronnen_3";"InvoerVanGasvormigAardgasTotaal_4";"InvoerViaNoorwegen_5";"InvoerViaDuitsland_6";"InvoerViaBelgie_7";"InvoerViaVerenigdKoninkrijk_8";"InvoerViaDenemarken_9";"InvoerVloeibaarAardgasLNGTotaal_10";"InvoerUitVerenigdeStaten_11";"InvoerUitNoorwegen_12";"InvoerUitRusland_13";"InvoerUitAfrika_14";"InvoerUitAzie_15";"InvoerUitAmerikaExclDeVS_16";"InvoerUitOverigOnbekend_17";"UitvoerVanGasvormigAardgasTotaal_18";"UitvoerNaarDuitsland_19";"UitvoerNaarBelgie_20";"UitvoerNaarVerenigdKoninkrijk_21";"UitvoerVanVloeibaarAardgasLNG_22";"Bunkering_23";"Voorraadmutatie_24";"TotaalVerbruik_25";"Energiebedrijven_26";"VerbruikBijWinningEnAardgastransport_27";"Eindvoorraad_28";"EindvoorraadGasvormigAardgas_29";"EindvoorraadVloeibaarAardgasLNG_30";"Fakkels_31";"OpslagcapaciteitTotaal_32";"OpslagcapaciteitGasvormig_33";"OpslagcapaciteitVloeibaar_34"
"113";"2021KW03";"    6123";"    4461";"      69";"   11821";"    7165";"    1878";"    2068";"     461";"     250";"    1505";"     675";"       0";"     429";"     192";"      83";"       0";"     126";"    6974";"    4692";"    2282";"       0";"     453";"      47";"   -4259";"    6123";"    1535";"     160";"    8863";"    8618";"     245";"      20";"   15136";"   14720";"     416"
"114";"2021MM10";"    2584";"    1206";"      24";"    3921";"    2042";"     513";"     883";"     401";"      82";"     976";"     490";"       0";"     355";"     114";"       0";"       0";"      17";"    3466";"    2535";"     931";"       0";"     142";"       6";"      73";"    2584";"     474";"      65";"    8790";"    8560";"     230";"       8";"   15136";"   14720";"     416"
"115";"2021MM11";"    3669";"    1518";"      22";"    3530";"    1541";"    1148";"     646";"     109";"      85";"     878";"     203";"       0";"     332";"       0";"     142";"      87";"     114";"    3205";"    2215";"     874";"     116";"      76";"       5";"    1007";"    3669";"     887";"      69";"    7784";"    7622";"     162";"       6";"   15136";"   14720";"     416"
"116";"2021MM12";"    4208";"    1626";"      23";"    2867";"    1177";"    1215";"     266";"     120";"      89";"    1169";"     666";"       0";"     376";"     114";"       0";"      13";"       0";"    4227";"    2348";"    1566";"     312";"      30";"       7";"    2787";"    4208";"     792";"      68";"    4997";"    4783";"     214";"       7";"   15136";"   14720";"     416"
"117";"2021KW04";"   10461";"    4350";"      69";"   10318";"    4761";"    2876";"    1795";"     630";"     256";"    3022";"    1359";"       0";"    1062";"     229";"     142";"     100";"     131";"   10897";"    7099";"    3370";"     428";"     248";"      19";"    3866";"   10461";"    2152";"     202";"    4997";"    4783";"     214";"      21";"   15136";"   14720";"     416"
"118";"2021JJ00";"   40161";"   20499";"     267";"   44749";"   22063";"   13290";"    6950";"    1431";"    1015";"    9754";"    4706";"       4";"    3081";"     864";"     224";"     424";"     451";"   39733";"   23859";"   13214";"    2660";"    1278";"     158";"    6062";"   40161";"    8581";"     745";"    4997";"    4783";"     214";"      86";"   15136";"   14720";"     416"
"119";"2022MM01";"    4261";"    2185";"      29";"    3296";"     999";"    1451";"     645";"     114";"      86";"    1054";"     581";"       0";"     305";"      88";"       0";"       0";"      80";"    3303";"    2417";"     788";"      98";"      32";"       5";"    1036";"    4261";"     772";"      58";"    3961";"    3920";"      41";"       7";"   15136";"   14720";"     416"
"120";"2022MM02";"    3416";"    1461";"      26";"    2629";"     907";"     786";"     806";"      51";"      78";"    1326";"     869";"       0";"     357";"       0";"       0";"       0";"     100";"    2585";"    1855";"     729";"       2";"     151";"       6";"     717";"    3416";"     471";"      51";"    3244";"    3119";"     125";"       6";"   15136";"   14720";"     416"
"121";"2022MM03";"    3248";"    1575";"      35";"    3396";"    1305";"     920";"    1033";"      51";"      87";"    1435";"     873";"       0";"     457";"      10";"       0";"       0";"      95";"    3266";"    2434";"     824";"       9";"      24";"      12";"     110";"    3248";"     695";"      58";"    3134";"    2968";"     166";"       7";"   15136";"   14720";"     416"
"122";"2022KW01";"   10924";"    5221";"      90";"    9321";"    3211";"    3158";"    2485";"     217";"     252";"    3814";"    2322";"       0";"    1119";"      98";"       0";"       0";"     275";"    9155";"    6706";"    2341";"     108";"     208";"      23";"    1863";"   10924";"    1939";"     167";"    3134";"    2968";"     166";"      20";"   15136";"   14720";"     416"
"123";"2022MM04";"    2656";"    1813";"      30";"    3266";"     953";"     468";"    1219";"     544";"      83";"    1378";"     851";"       0";"     334";"       0";"       0";"      79";"     114";"    2923";"    2361";"     562";"       0";"      29";"       7";"    -872";"    2656";"     494";"      52";"    4006";"    3877";"     129";"       7";"   14489";"   14073";"     416"
"124";"2022MM05";"    2085";"    1348";"      32";"    4138";"    1728";"     311";"    1446";"     575";"      78";"    1487";"     803";"       0";"     240";"     335";"       0";"       0";"     109";"    2955";"    2388";"     567";"       0";"      39";"      10";"   -1917";"    2085";"     615";"      53";"    5923";"    5681";"     242";"       7";"   14489";"   14073";"     416"
"125";"2022MM06";"    1925";"    1013";"      30";"    3855";"    1624";"     245";"    1391";"     523";"      72";"    1510";"     768";"       0";"     111";"     317";"       0";"     209";"     105";"    2500";"    2079";"     421";"       0";"      20";"       9";"   -1954";"    1925";"     672";"      36";"    7876";"    7590";"     286";"       3";"   14489";"   14073";"     416"
"126";"2022KW02";"    6666";"    4174";"      91";"   11260";"    4306";"    1023";"    4056";"    1642";"     233";"    4374";"    2422";"       0";"     684";"     652";"       0";"     288";"     328";"    8377";"    6828";"    1550";"       0";"      89";"      25";"   -4742";"    6666";"    1781";"     141";"    7876";"    7590";"     286";"      16";"   14489";"   14073";"     416"
"127";"2022MM07";"    1753";"    1144";"      35";"    3750";"    1175";"     359";"    1540";"     577";"      99";"    1620";"    1266";"      96";"     223";"       0";"       0";"      14";"      21";"    2875";"    2326";"     548";"       0";"      29";"       6";"   -1886";"    1753";"     590";"      43";"    9763";"    9455";"     307";"       5";"   14489";"   14073";"     416"
"128";"2022MM08";"    1672";"    1115";"      38";"    3426";"    1017";"     200";"    1525";"     587";"      97";"    1560";"     621";"     110";"     211";"     499";"       0";"      97";"      22";"    2970";"    2420";"     550";"       0";"      32";"      12";"   -1453";"    1672";"     654";"      44";"   11216";"   10972";"     244";"       5";"   14489";"   14073";"     416"
"129";"2022MM09";"    1740";"    1536";"      33";"    3510";"    1174";"     316";"    1469";"     517";"      34";"    1959";"    1396";"      97";"     112";"     217";"       0";"       0";"     137";"    3241";"    2522";"     719";"       0";"      27";"       4";"   -2025";"    1740";"     540";"      46";"   13241";"   12858";"     383";"       7";"   14609";"   14073";"     535"
"130";"2022KW03";"    5166";"    3795";"     105";"   10686";"    3367";"     875";"    4534";"    1681";"     229";"    5139";"    3283";"     303";"     546";"     716";"       0";"     111";"     180";"    9085";"    7268";"    1817";"       0";"      88";"      21";"   -5365";"    5166";"    1783";"     133";"   13241";"   12858";"     383";"      17";"   14609";"   14073";"     535"
"131";"2022MM10";"    2105";"    1036";"      28";"    3109";"     772";"     186";"    1466";"     579";"     105";"    2044";"    1198";"     210";"     123";"     331";"       0";"     181";"       1";"    4026";"    3376";"     650";"       0";"      52";"      12";"     -22";"    2105";"     688";"      47";"   13263";"   12866";"     397";"       7";"   14609";"   14073";"     535"
"132";"2022MM11";"    2607";"    1343";"      28";"    2727";"     681";"     323";"    1121";"     507";"      94";"    1726";"     945";"      92";"     108";"     309";"     137";"       0";"     136";"    3683";"    3102";"     580";"       0";"      14";"      13";"     493";"    2607";"     526";"      43";"   12770";"   12422";"     348";"       5";"   14603";"   14068";"     535"
"133";"2022MM12";"    3808";"    1470";"      32";"    3140";"     872";"     986";"    1132";"      54";"      96";"    1600";"     757";"      95";"     111";"     519";"       0";"     109";"      10";"    4082";"    3247";"     799";"      36";"      49";"       9";"    1705";"    3808";"     849";"      53";"   11065";"   10812";"     253";"       7";"   14603";"   14068";"     535"
"134";"2022KW04";"    8520";"    3849";"      88";"    8975";"    2325";"    1495";"    3719";"    1141";"     296";"    5370";"    2900";"     397";"     342";"    1159";"     137";"     289";"     147";"   11791";"    9725";"    2030";"      36";"     115";"      34";"    2176";"    8520";"    2063";"     143";"   11065";"   10812";"     253";"      19";"   14603";"   14068";"     535"
"135";"2022JJ00";"   31276";"   17040";"     375";"   40242";"   13208";"    6551";"   14794";"    4680";"    1010";"   18697";"   10927";"     699";"    2692";"    2624";"     137";"     689";"     930";"   38408";"   30527";"    7737";"     144";"     498";"     103";"   -6068";"   31276";"    7566";"     584";"   11065";"   10812";"     253";"      72";"   14603";"   14068";"     535"
"136";"2023MM01";"    3387";"    1349";"      30";"    3109";"     987";"    1009";"     967";"      45";"     100";"    1564";"    1203";"     106";"     122";"     125";"       0";"       0";"       8";"    3904";"    3279";"     618";"       7";"      27";"      13";"    1279";"    3387";"     574";"      46";"    9786";"    9622";"     164";"       4";"   14603";"   14068";"     535"
"137";"2023MM02";"    3059";"    1191";"      28";"    2668";"     770";"     833";"     935";"      45";"      84";"    1739";"    1304";"      89";"     104";"      99";"     128";"       0";"      14";"    3140";"    2623";"     505";"      12";"      25";"      16";"     616";"    3059";"     659";"      41";"    9170";"    8836";"     334";"       2";"   14603";"   14068";"     535"
"138";"2023MM03";"    3119";"    1307";"      29";"    2303";"     882";"     633";"     662";"      34";"      92";"    2120";"    1552";"      98";"     116";"     206";"     142";"       0";"       6";"    3251";"    2683";"     554";"      15";"      40";"      14";"     666";"    3119";"     588";"      44";"    8504";"    8299";"     205";"       2";"   14603";"   14068";"     535"
"139";"2023KW01";"    9565";"    3847";"      87";"    8079";"    2639";"    2476";"    2564";"     124";"     276";"    5423";"    4059";"     294";"     342";"     431";"     270";"       0";"      28";"   10296";"    8585";"    1677";"      34";"      92";"      43";"    2561";"    9565";"    1821";"     131";"    8504";"    8299";"     205";"       8";"   14603";"   14068";"     535"
"140";"2023MM04";"    2435";"     921";"      29";"    3264";"     920";"     436";"    1279";"     539";"      89";"    2209";"    1483";"     103";"     120";"     240";"     150";"     113";"       0";"    3448";"    2703";"     745";"       0";"      63";"      14";"    -464";"    2435";"     520";"      42";"    8968";"    8780";"     188";"       2";"   14859";"   14324";"     535"
"141";"2023MM05";"    1891";"     836";"      31";"    3170";"     951";"     193";"    1400";"     569";"      57";"    2369";"    1892";"     106";"     123";"     244";"       0";"       0";"       5";"    3321";"    2750";"     571";"       0";"      75";"      25";"   -1096";"    1891";"     520";"      39";"   10064";"    9819";"     245";"       1";"   14859";"   14324";"     535"
"142";"2023MM06";"    1865";"     771";"      29";"    2619";"     831";"     520";"     916";"     257";"      95";"    2299";"    1457";"      92";"       0";"     295";"     133";"     309";"      14";"    2303";"    1890";"     413";"       0";"      66";"      28";"   -1455";"    1865";"     710";"      33";"   11518";"   11318";"     200";"       1";"   14856";"   14321";"     535"
"143";"2023KW02";"    6190";"    2528";"      89";"    9053";"    2703";"    1148";"    3595";"    1365";"     241";"    6878";"    4831";"     300";"     244";"     779";"     283";"     422";"      19";"    9072";"    7344";"    1729";"       0";"     204";"      67";"   -3014";"    6190";"    1750";"     115";"   11518";"   11318";"     200";"       4";"   14856";"   14321";"     535"
"144";"2023MM07";"    1726";"     872";"      30";"    2728";"     965";"     445";"     864";"     372";"      83";"    2341";"    1786";"       0";"       0";"     419";"     134";"       0";"       1";"    2670";"    2204";"     466";"       0";"     107";"      28";"   -1440";"    1726";"     572";"      38";"   12958";"   12729";"     229";"       1";"   14856";"   14321";"     535"
"145";"2023MM08";"    1924";"     814";"      32";"    2751";"    1031";"     561";"     795";"     279";"      85";"    2190";"    1609";"     182";"     107";"     101";"       0";"     190";"       1";"    2830";"    2363";"     468";"       0";"      57";"      31";"    -945";"    1924";"     728";"      35";"   13903";"   13565";"     339";"       1";"   14856";"   14321";"     535"
"146";"2023MM09";"    1924";"     668";"      32";"    1927";"     769";"     322";"     593";"     164";"      78";"    1707";"    1389";"      97";"     112";"     108";"       0";"       0";"       1";"    2177";"    1678";"     498";"       0";"      75";"      25";"    -132";"    1924";"     700";"      27";"   14036";"   13792";"     243";"       1";"   14856";"   14321";"     535"
"147";"2023KW03";"    5574";"    2354";"      94";"    7405";"    2765";"    1328";"    2252";"     815";"     246";"    6238";"    4784";"     279";"     219";"     628";"     134";"     190";"       3";"    7677";"    6245";"    1432";"       0";"     239";"      84";"   -2518";"    5574";"    2000";"     100";"   14036";"   13792";"     243";"       4";"   14856";"   14321";"     535"
"148";"2023MM10";"    2134";"     822";"      30";"    2248";"    1116";"     299";"     729";"      17";"      87";"    2085";"    1239";"     104";"     112";"     427";"       0";"     202";"       1";"    2562";"    2135";"     418";"       9";"     104";"      24";"    -361";"    2134";"     493";"      36";"   14397";"   14223";"     174";"       2";"   14856";"   14321";"     535"
"149";"2023MM11";"    2868";"     821";"      27";"    2184";"     926";"     335";"     806";"      38";"      80";"    2120";"    1322";"     197";"     116";"     111";"     145";"     226";"       3";"    2784";"    2338";"     434";"      12";"      71";"      24";"     595";"    2868";"     493";"      41";"   13802";"   13502";"     300";"       1";"   14872";"   14321";"     551"
"150";"2023MM12";"    3369";"     835";"      29";"    1854";"     825";"     387";"     522";"      41";"      80";"    2012";"    1312";"     191";"     112";"      96";"       0";"     203";"      98";"    3080";"    2674";"     406";"       0";"      75";"      31";"    1825";"    3369";"     608";"      44";"   11977";"   11703";"     275";"       2";"   14872";"   14321";"     551"
