"ID";"Periods";"TotalSupply_1";"IndigenousProduction_2";"ProductionFromOtherSources_3";"ImportsOfGaseousNaturalGasTotal_4";"ImportsViaNorway_5";"ImportsViaGermany_6";"ImportsViaBelgium_7";"ImportsViaUnitedKingdom_8";"ImportsViaDenmark_9";"ImportsOfLNGTotal_10";"ImportsViaTheUnitedStates_11";"ImportsViaNorway_12";"ImportsViaRussia_13";"ImportsViaAfrica_14";"ImportsViaAsia_15";"ImportsViaAmericaExcludingUS_16";"ImportsViaOtherUnknown_17";"ExportsOfGaseousNaturalGasTotal_18";"ExportsToNorway_19";"ExportsToGermany_20";"ExportsToBelgium_21";"ExportsToUnitedKingdom_22";"ExportsToDenmark_23";"ExportsOfLiquefiedNaturalGasLNG_24";"Bunkers_25";"StockChange_26";"TotalConsumption_27";"TotalViaTheMainGrid_28";"ElectricityPowerPlants_29";"OtherConsumers_30";"ViaRegionalGrids_31";"ConsumptionByProductionAndTransport_32";"ClosingStock_33";"ClosingStockGaseousGas_34";"ClosingStockLiquefiedNaturalGas_35";"Flaring_36";"StorageCapacityTotal_37";"StorageCapacityGaseousGas_38";"StorageCapacityLiquefiedNaturalGas_39"
"408";"2002MM08";"    2538";"    3172";"       1";"    2053";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2486";"";"";"";"";"";"";"       .";"    -202";"    2538";"    1842";"     614";"    1228";"     651";"      45";"       .";"";"";"       3";"";"";""
"409";"2002MM09";"    2891";"    4496";"       1";"    1919";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3331";"";"";"";"";"";"";"       .";"    -194";"    2891";"    1990";"     663";"    1327";"     841";"      60";"       .";"";"";"       4";"";"";""
"410";"2002KW03";"    7994";"   11594";"       3";"    5766";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    8780";"";"";"";"";"";"";"       .";"    -589";"    7994";"    5599";"    1835";"    3764";"    2233";"     162";"       .";"";"";"      11";"";"";""
"411";"2002MM10";"    4211";"    6435";"       1";"    2433";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4720";"";"";"";"";"";"";"       .";"      62";"    4211";"    2120";"     797";"    1323";"    2021";"      70";"       .";"";"";"       6";"";"";""
"412";"2002MM11";"    4527";"    6947";"       1";"    2290";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4785";"";"";"";"";"";"";"       .";"      74";"    4527";"    2065";"     699";"    1366";"    2401";"      61";"       .";"";"";"       4";"";"";""
"413";"2002MM12";"    5140";"    8841";"       1";"    2400";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    6173";"";"";"";"";"";"";"       .";"      71";"    5140";"    2244";"     698";"    1546";"    2831";"      65";"       .";"";"";"       5";"";"";""
"414";"2002KW04";"   13878";"   22223";"       3";"    7123";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   15678";"";"";"";"";"";"";"       .";"     207";"   13878";"    6429";"    2194";"    4235";"    7253";"     196";"       .";"";"";"      15";"";"";""
"415";"2003MM01";"    6203";"   10346";"       1";"    2240";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    6449";"";"";"";"";"";"";"       .";"      65";"    6203";"    2245";"     735";"    1510";"    3891";"      67";"       .";"";"";"       4";"";"";""
"416";"2003MM02";"    5641";"    9494";"       1";"    2086";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    6010";"";"";"";"";"";"";"       .";"      70";"    5641";"    2200";"     690";"    1510";"    3381";"      60";"       .";"";"";"       5";"";"";""
"417";"2003MM03";"    4597";"    6873";"       1";"    2343";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4687";"";"";"";"";"";"";"       .";"      67";"    4597";"    2044";"     649";"    1395";"    2482";"      71";"       .";"";"";"       5";"";"";""
