"ID";"Periods";"TotalSupply_1";"IndigenousProduction_2";"ProductionFromOtherSources_3";"ImportsOfGaseousNaturalGasTotal_4";"ImportsViaNorway_5";"ImportsViaGermany_6";"ImportsViaBelgium_7";"ImportsViaUnitedKingdom_8";"ImportsViaDenmark_9";"ImportsOfLiquefiedNaturalGasLng_10";"ExportsOfGaseousNaturalGasTotal_11";"ExportsToNorway_12";"ExportsToGermany_13";"ExportsToBelgium_14";"ExportsToUnitedKingdom_15";"ExportsToDenmark_16";"ExportsOfLiquefiedNaturalGasLng_17";"Bunkers_18";"StockChange_19";"TotalConsumption_20";"TotalViaTheMainGrid_21";"ElectricityPowerPlants_22";"OtherConsumers_23";"ViaRegionalGrids_24";"ConsumptionByProductionAndTransport_25";"ClosingStock_26";"ClosingStockGaseousGas_27";"ClosingStockLiquefiedNaturalGas_28";"Flaring_29";"StorageCapacityTotal_30";"StorageCapacityGaseousGas_31";"StorageCapacityLiquefiedNaturalGas_32"
"200";"1991KW03";"    6892";"   10882";"       3";"     564";"";"";"";"";"";"";"    4551";"";"";"";"";"";"";"       .";"      -6";"    6892";"    4756";"    2058";"    2698";"    2030";"     106";"       .";"";"";"      24";"";"";""
"201";"1991MM10";"    3875";"    6971";"       1";"     268";"";"";"";"";"";"";"    3359";"";"";"";"";"";"";"       .";"      -6";"    3875";"    2101";"     952";"    1149";"    1721";"      53";"       .";"";"";"      10";"";"";""
"202";"1991MM11";"    4887";"    9795";"       1";"     142";"";"";"";"";"";"";"    5051";"";"";"";"";"";"";"       .";"       0";"    4887";"    2071";"     874";"    1197";"    2761";"      55";"       .";"";"";"      10";"";"";""
"203";"1991MM12";"    5399";"   10714";"       1";"     172";"";"";"";"";"";"";"    5485";"";"";"";"";"";"";"       .";"      -3";"    5399";"    2013";"     853";"    1160";"    3319";"      67";"       .";"";"";"      14";"";"";""
"204";"1991KW04";"   14161";"   27480";"       3";"     582";"";"";"";"";"";"";"   13895";"";"";"";"";"";"";"       .";"      -9";"   14161";"    6185";"    2679";"    3506";"    7801";"     175";"       .";"";"";"      34";"";"";""
"205";"1991JJ00";"   45465";"   81554";"      12";"    2317";"";"";"";"";"";"";"   38407";"";"";"";"";"";"";"       .";"     -11";"   45465";"   20857";"    8637";"   12220";"   24065";"     543";"       .";"";"";"     111";"";"";""
"206";"1992MM01";"    5657";"   11120";"       1";"     140";"";"";"";"";"";"";"    5609";"";"";"";"";"";"";"       .";"       5";"    5657";"    1926";"     788";"    1138";"    3659";"      72";"       .";"";"";"      12";"";"";""
"207";"1992MM02";"    4804";"    9241";"       1";"     135";"";"";"";"";"";"";"    4566";"";"";"";"";"";"";"       .";"      -7";"    4804";"    1778";"     759";"    1019";"    2962";"      64";"       .";"";"";"       7";"";"";""
"208";"1992MM03";"    4595";"    8365";"       1";"     213";"";"";"";"";"";"";"    3985";"";"";"";"";"";"";"       .";"       1";"    4595";"    1912";"     871";"    1041";"    2620";"      63";"       .";"";"";"       9";"";"";""
"209";"1992KW01";"   15056";"   28726";"       3";"     488";"";"";"";"";"";"";"   14160";"";"";"";"";"";"";"       .";"      -1";"   15056";"    5616";"    2418";"    3198";"    9241";"     199";"       .";"";"";"      28";"";"";""
"210";"1992MM04";"    3638";"    6626";"       1";"     248";"";"";"";"";"";"";"    3239";"";"";"";"";"";"";"       .";"       2";"    3638";"    1677";"     719";"     958";"    1908";"      53";"       .";"";"";"      10";"";"";""
"211";"1992MM05";"    2601";"    4901";"       1";"     240";"";"";"";"";"";"";"    2543";"";"";"";"";"";"";"       .";"       2";"    2601";"    1549";"     684";"     865";"     998";"      54";"       .";"";"";"       7";"";"";""
"212";"1992MM06";"    2295";"    3909";"       1";"     294";"";"";"";"";"";"";"    1914";"";"";"";"";"";"";"       .";"       5";"    2295";"    1604";"     722";"     882";"     652";"      39";"       .";"";"";"       3";"";"";""
"213";"1992KW02";"    8534";"   15436";"       3";"     782";"";"";"";"";"";"";"    7696";"";"";"";"";"";"";"       .";"       9";"    8534";"    4830";"    2125";"    2705";"    3558";"     146";"       .";"";"";"      20";"";"";""
"214";"1992MM07";"    2140";"    3470";"       1";"     242";"";"";"";"";"";"";"    1568";"";"";"";"";"";"";"       .";"      -5";"    2140";"    1505";"     636";"     869";"     599";"      36";"       .";"";"";"       7";"";"";""
"215";"1992MM08";"    2139";"    3223";"       1";"     292";"";"";"";"";"";"";"    1380";"";"";"";"";"";"";"       .";"       3";"    2139";"    1456";"     619";"     837";"     647";"      36";"       .";"";"";"       6";"";"";""
"216";"1992MM09";"    2558";"    4117";"       1";"     266";"";"";"";"";"";"";"    1820";"";"";"";"";"";"";"       .";"      -6";"    2558";"    1545";"     677";"     868";"     962";"      51";"       .";"";"";"       8";"";"";""
"217";"1992KW03";"    6837";"   10810";"       3";"     800";"";"";"";"";"";"";"    4768";"";"";"";"";"";"";"       .";"      -8";"    6837";"    4506";"    1932";"    2574";"    2208";"     123";"       .";"";"";"      21";"";"";""
"218";"1992MM10";"    4072";"    8045";"       1";"     268";"";"";"";"";"";"";"    4237";"";"";"";"";"";"";"       .";"      -5";"    4072";"    1853";"     821";"    1032";"    2155";"      64";"       .";"";"";"       8";"";"";""
"219";"1992MM11";"    4318";"    8918";"       1";"     228";"";"";"";"";"";"";"    4835";"";"";"";"";"";"";"       .";"       6";"    4318";"    1862";"     785";"    1077";"    2384";"      72";"       .";"";"";"      22";"";"";""
"220";"1992MM12";"    5231";"    9968";"       1";"     232";"";"";"";"";"";"";"    4968";"";"";"";"";"";"";"       .";"      -2";"    5231";"    1878";"     753";"    1125";"    3279";"      74";"       .";"";"";"      19";"";"";""
"221";"1992KW04";"   13621";"   26931";"       3";"     728";"";"";"";"";"";"";"   14040";"";"";"";"";"";"";"       .";"      -1";"   13621";"    5593";"    2359";"    3234";"    7818";"     210";"       .";"";"";"      49";"";"";""
"222";"1992JJ00";"   44048";"   81903";"      12";"    2798";"";"";"";"";"";"";"   40664";"";"";"";"";"";"";"       .";"      -1";"   44048";"   20545";"    8834";"   11711";"   22825";"     678";"       .";"";"";"     118";"";"";""
"223";"1993MM01";"    5444";"   10158";"       1";"     227";"";"";"";"";"";"";"    4933";"";"";"";"";"";"";"       .";"      -9";"    5444";"    1902";"     811";"    1091";"    3474";"      68";"       .";"";"";"      20";"";"";""
"224";"1993MM02";"    5135";"    9787";"       1";"     333";"";"";"";"";"";"";"    4986";"";"";"";"";"";"";"       .";"       0";"    5135";"    1732";"     733";"     999";"    3343";"      60";"       .";"";"";"      17";"";"";""
"225";"1993MM03";"    4681";"    8281";"       1";"     410";"";"";"";"";"";"";"    4005";"";"";"";"";"";"";"       .";"      -6";"    4681";"    1868";"     828";"    1040";"    2753";"      60";"       .";"";"";"      16";"";"";""
"226";"1993KW01";"   15260";"   28226";"       3";"     970";"";"";"";"";"";"";"   13924";"";"";"";"";"";"";"       .";"     -15";"   15260";"    5502";"    2372";"    3130";"    9570";"     188";"       .";"";"";"      53";"";"";""
"227";"1993MM04";"    3314";"    6190";"       1";"     336";"";"";"";"";"";"";"    3220";"";"";"";"";"";"";"       .";"       7";"    3314";"    1590";"     679";"     911";"    1664";"      60";"       .";"";"";"      16";"";"";""
"228";"1993MM05";"    2568";"    4362";"       1";"     420";"";"";"";"";"";"";"    2211";"";"";"";"";"";"";"       .";"      -4";"    2568";"    1577";"     690";"     887";"     940";"      51";"       .";"";"";"      11";"";"";""
"229";"1993MM06";"    2401";"    3842";"       1";"     309";"";"";"";"";"";"";"    1746";"";"";"";"";"";"";"       .";"      -5";"    2401";"    1606";"     718";"     888";"     757";"      38";"       .";"";"";"       7";"";"";""
"230";"1993KW02";"    8283";"   14394";"       3";"    1065";"";"";"";"";"";"";"    7177";"";"";"";"";"";"";"       .";"      -2";"    8283";"    4773";"    2087";"    2686";"    3361";"     149";"       .";"";"";"      34";"";"";""
"231";"1993MM07";"    2248";"    3367";"       1";"     206";"";"";"";"";"";"";"    1323";"";"";"";"";"";"";"       .";"      -3";"    2248";"    1494";"     612";"     882";"     715";"      39";"       .";"";"";"       9";"";"";""
"232";"1993MM08";"    2235";"    3409";"       1";"     245";"";"";"";"";"";"";"    1421";"";"";"";"";"";"";"       .";"       1";"    2235";"    1417";"     588";"     829";"     786";"      32";"       .";"";"";"       9";"";"";""
"233";"1993MM09";"    2880";"    5334";"       1";"     130";"";"";"";"";"";"";"    2583";"";"";"";"";"";"";"       .";"      -2";"    2880";"    1718";"     789";"     929";"    1127";"      35";"       .";"";"";"       9";"";"";""
"234";"1993KW03";"    7363";"   12110";"       3";"     581";"";"";"";"";"";"";"    5327";"";"";"";"";"";"";"       .";"      -4";"    7363";"    4629";"    1989";"    2640";"    2628";"     106";"       .";"";"";"      27";"";"";""
"235";"1993MM10";"    3616";"    7348";"       1";"     163";"";"";"";"";"";"";"    3898";"";"";"";"";"";"";"       .";"       2";"    3616";"    1753";"     698";"    1055";"    1814";"      49";"       .";"";"";"      11";"";"";""
"236";"1993MM11";"    5526";"   10813";"       1";"     312";"";"";"";"";"";"";"    5606";"";"";"";"";"";"";"       .";"       6";"    5526";"    1986";"     826";"    1160";"    3478";"      62";"       .";"";"";"      18";"";"";""
"237";"1993MM12";"    5156";"   10601";"       1";"     249";"";"";"";"";"";"";"    5693";"";"";"";"";"";"";"       .";"      -2";"    5156";"    1801";"     702";"    1099";"    3292";"      63";"       .";"";"";"      20";"";"";""
"238";"1993KW04";"   14298";"   28762";"       3";"     724";"";"";"";"";"";"";"   15197";"";"";"";"";"";"";"       .";"       6";"   14298";"    5540";"    2226";"    3314";"    8584";"     174";"       .";"";"";"      49";"";"";""
"239";"1993JJ00";"   45204";"   83492";"      12";"    3340";"";"";"";"";"";"";"   41625";"";"";"";"";"";"";"       .";"     -15";"   45204";"   20444";"    8674";"   11770";"   24143";"     617";"       .";"";"";"     163";"";"";""
"240";"1994MM01";"    5160";"   10184";"       1";"     289";"";"";"";"";"";"";"    5313";"";"";"";"";"";"";"       .";"      -1";"    5160";"    1748";"     707";"    1041";"    3352";"      60";"       .";"";"";"      20";"";"";""
"241";"1994MM02";"    5333";"    9950";"       1";"     273";"";"";"";"";"";"";"    4894";"";"";"";"";"";"";"       .";"       3";"    5333";"    1696";"     699";"     997";"    3578";"      59";"       .";"";"";"      17";"";"";""
"242";"1994MM03";"    4642";"    7969";"       1";"     302";"";"";"";"";"";"";"    3638";"";"";"";"";"";"";"       .";"       8";"    4642";"    1865";"     784";"    1081";"    2729";"      48";"       .";"";"";"      15";"";"";""
"243";"1994KW01";"   15135";"   28103";"       3";"     864";"";"";"";"";"";"";"   13845";"";"";"";"";"";"";"       .";"      10";"   15135";"    5309";"    2190";"    3119";"    9659";"     167";"       .";"";"";"      52";"";"";""
"244";"1994MM04";"    3726";"    6750";"       1";"     246";"";"";"";"";"";"";"    3261";"";"";"";"";"";"";"       .";"     -10";"    3726";"    1610";"     620";"     990";"    2068";"      48";"       .";"";"";"      12";"";"";""
"245";"1994MM05";"    2808";"    4284";"       1";"     246";"";"";"";"";"";"";"    1729";"";"";"";"";"";"";"       .";"       6";"    2808";"    1603";"     588";"    1015";"    1168";"      37";"       .";"";"";"      11";"";"";""
"246";"1994MM06";"    2459";"    3811";"       1";"     265";"";"";"";"";"";"";"    1613";"";"";"";"";"";"";"       .";"      -5";"    2459";"    1536";"     620";"     916";"     884";"      39";"       .";"";"";"      14";"";"";""
"247";"1994KW02";"    8993";"   14845";"       3";"     757";"";"";"";"";"";"";"    6603";"";"";"";"";"";"";"       .";"      -9";"    8993";"    4749";"    1828";"    2921";"    4120";"     124";"       .";"";"";"      37";"";"";""
"248";"1994MM07";"    2111";"    3197";"       1";"     306";"";"";"";"";"";"";"    1392";"";"";"";"";"";"";"       .";"      -1";"    2111";"    1517";"     589";"     928";"     555";"      39";"       .";"";"";"      11";"";"";""
"249";"1994MM08";"    2277";"    3483";"       1";"     219";"";"";"";"";"";"";"    1428";"";"";"";"";"";"";"       .";"       2";"    2277";"    1588";"     647";"     941";"     648";"      41";"       .";"";"";"      13";"";"";""
"250";"1994MM09";"    2922";"    4891";"       1";"     326";"";"";"";"";"";"";"    2298";"";"";"";"";"";"";"       .";"       2";"    2922";"    1769";"     781";"     988";"    1106";"      47";"       .";"";"";"      14";"";"";""
"251";"1994KW03";"    7310";"   11571";"       3";"     851";"";"";"";"";"";"";"    5118";"";"";"";"";"";"";"       .";"       3";"    7310";"    4874";"    2017";"    2857";"    2309";"     127";"       .";"";"";"      38";"";"";""
"252";"1994MM10";"    3884";"    7932";"       1";"     338";"";"";"";"";"";"";"    4369";"";"";"";"";"";"";"       .";"     -18";"    3884";"    1895";"     754";"    1141";"    1930";"      59";"       .";"";"";"      18";"";"";""
"253";"1994MM11";"    3810";"    6987";"       1";"     357";"";"";"";"";"";"";"    3547";"";"";"";"";"";"";"       .";"      12";"    3810";"    1826";"     667";"    1159";"    1930";"      54";"       .";"";"";"      15";"";"";""
"254";"1994MM12";"    5008";"    9760";"       1";"     314";"";"";"";"";"";"";"    5063";"";"";"";"";"";"";"       .";"      -4";"    5008";"    1867";"     644";"    1223";"    3076";"      65";"       .";"";"";"      19";"";"";""
"255";"1994KW04";"   12702";"   24679";"       3";"    1009";"";"";"";"";"";"";"   12979";"";"";"";"";"";"";"       .";"     -10";"   12702";"    5588";"    2065";"    3523";"    6936";"     178";"       .";"";"";"      52";"";"";""
"256";"1994JJ00";"   44140";"   79198";"      12";"    3481";"";"";"";"";"";"";"   38545";"";"";"";"";"";"";"       .";"      -6";"   44140";"   20520";"    8100";"   12420";"   23024";"     596";"       .";"";"";"     179";"";"";""
"257";"1995MM01";"    5726";"   11068";"       1";"     323";"";"";"";"";"";"";"    5671";"";"";"";"";"";"";"       .";"       5";"    5726";"    1974";"     708";"    1266";"    3681";"      71";"       .";"";"";"      20";"";"";""
"258";"1995MM02";"    4529";"    7976";"       1";"     302";"";"";"";"";"";"";"    3746";"";"";"";"";"";"";"       .";"      -4";"    4529";"    1743";"     652";"    1091";"    2726";"      60";"       .";"";"";"      21";"";"";""
"259";"1995MM03";"    5055";"    9105";"       1";"     340";"";"";"";"";"";"";"    4393";"";"";"";"";"";"";"       .";"       2";"    5055";"    1954";"     739";"    1215";"    3034";"      67";"       .";"";"";"      20";"";"";""
"260";"1995KW01";"   15310";"   28149";"       3";"     965";"";"";"";"";"";"";"   13810";"";"";"";"";"";"";"       .";"       3";"   15310";"    5671";"    2099";"    3572";"    9441";"     198";"       .";"";"";"      61";"";"";""
"261";"1995MM04";"    3588";"    5939";"       1";"     290";"";"";"";"";"";"";"    2636";"";"";"";"";"";"";"       .";"      -6";"    3588";"    1610";"     544";"    1066";"    1928";"      50";"       .";"";"";"      15";"";"";""
"262";"1995MM05";"    2724";"    4525";"       1";"     314";"";"";"";"";"";"";"    2113";"";"";"";"";"";"";"       .";"      -3";"    2724";"    1505";"     500";"    1005";"    1175";"      44";"       .";"";"";"       9";"";"";""
"263";"1995MM06";"    2574";"    4300";"       1";"     261";"";"";"";"";"";"";"    1994";"";"";"";"";"";"";"       .";"       6";"    2574";"    1526";"     487";"    1039";"     997";"      51";"       .";"";"";"      16";"";"";""
"264";"1995KW02";"    8886";"   14764";"       3";"     865";"";"";"";"";"";"";"    6743";"";"";"";"";"";"";"       .";"      -3";"    8886";"    4641";"    1531";"    3110";"    4100";"     145";"       .";"";"";"      40";"";"";""
"265";"1995MM07";"    2134";"    2960";"       1";"     322";"";"";"";"";"";"";"    1150";"";"";"";"";"";"";"       .";"       1";"    2134";"    1520";"     512";"    1008";"     572";"      42";"       .";"";"";"      15";"";"";""
"266";"1995MM08";"    2316";"    3213";"       1";"     278";"";"";"";"";"";"";"    1177";"";"";"";"";"";"";"       .";"       1";"    2316";"    1666";"     624";"    1042";"     605";"      45";"       .";"";"";"      15";"";"";""
"267";"1995MM09";"    2740";"    4511";"       1";"     235";"";"";"";"";"";"";"    2007";"";"";"";"";"";"";"       .";"       0";"    2740";"    1672";"     623";"    1049";"    1018";"      50";"       .";"";"";"      13";"";"";""
"268";"1995KW03";"    7190";"   10684";"       3";"     835";"";"";"";"";"";"";"    4334";"";"";"";"";"";"";"       .";"       2";"    7190";"    4858";"    1759";"    3099";"    2195";"     137";"       .";"";"";"      43";"";"";""
"269";"1995MM10";"    3225";"    5859";"       1";"     379";"";"";"";"";"";"";"    3007";"";"";"";"";"";"";"       .";"      -7";"    3225";"    1857";"     655";"    1202";"    1303";"      65";"       .";"";"";"      17";"";"";""
"270";"1995MM11";"    4500";"    8906";"       1";"     312";"";"";"";"";"";"";"    4727";"";"";"";"";"";"";"       .";"       8";"    4500";"    1909";"     671";"    1238";"    2521";"      70";"       .";"";"";"      18";"";"";""
"271";"1995MM12";"    6532";"   12150";"       1";"     296";"";"";"";"";"";"";"    5912";"";"";"";"";"";"";"       .";"      -3";"    6532";"    2084";"     739";"    1345";"    4375";"      73";"       .";"";"";"      19";"";"";""
"272";"1995KW04";"   14257";"   26915";"       3";"     987";"";"";"";"";"";"";"   13646";"";"";"";"";"";"";"       .";"      -2";"   14257";"    5850";"    2065";"    3785";"    8199";"     208";"       .";"";"";"      54";"";"";""
"273";"1995JJ00";"   45643";"   80512";"      12";"    3652";"";"";"";"";"";"";"   38533";"";"";"";"";"";"";"       .";"       0";"   45643";"   21020";"    7454";"   13566";"   23935";"     688";"       .";"";"";"     198";"";"";""
"274";"1996MM01";"    6756";"   12374";"       1";"     575";"";"";"";"";"";"";"    6199";"";"";"";"";"";"";"       .";"       5";"    6756";"    2004";"     675";"    1329";"    4656";"      96";"       .";"";"";"      23";"";"";""
"275";"1996MM02";"    6217";"   11885";"       1";"     412";"";"";"";"";"";"";"    6082";"";"";"";"";"";"";"       .";"       1";"    6217";"    1950";"     701";"    1249";"    4179";"      88";"       .";"";"";"      24";"";"";""
"276";"1996MM03";"    5547";"   11137";"       1";"     378";"";"";"";"";"";"";"    5973";"";"";"";"";"";"";"       .";"       4";"    5547";"    1975";"     701";"    1274";"    3478";"      94";"       .";"";"";"      24";"";"";""
"277";"1996KW01";"   18520";"   35396";"       3";"    1365";"";"";"";"";"";"";"   18254";"";"";"";"";"";"";"       .";"      10";"   18520";"    5929";"    2077";"    3852";"   12313";"     278";"       .";"";"";"      71";"";"";""
"278";"1996MM04";"    3541";"    6811";"       1";"     338";"";"";"";"";"";"";"    3606";"";"";"";"";"";"";"       .";"      -3";"    3541";"    1681";"     588";"    1093";"    1793";"      67";"       .";"";"";"      18";"";"";""
"279";"1996MM05";"    3284";"    5778";"       1";"     340";"";"";"";"";"";"";"    2828";"";"";"";"";"";"";"       .";"      -7";"    3284";"    1623";"     577";"    1046";"    1600";"      61";"       .";"";"";"      16";"";"";""
"280";"1996MM06";"    2434";"    4168";"       1";"     391";"";"";"";"";"";"";"    2125";"";"";"";"";"";"";"       .";"      -1";"    2434";"    1555";"     545";"    1010";"     824";"      55";"       .";"";"";"      14";"";"";""
"281";"1996KW02";"    9259";"   16757";"       3";"    1069";"";"";"";"";"";"";"    8559";"";"";"";"";"";"";"       .";"     -11";"    9259";"    4859";"    1710";"    3149";"    4217";"     183";"       .";"";"";"      48";"";"";""
"282";"1996MM07";"    2366";"    3939";"       1";"     403";"";"";"";"";"";"";"    1980";"";"";"";"";"";"";"       .";"       3";"    2366";"    1591";"     516";"    1075";"     724";"      51";"       .";"";"";"      15";"";"";""
"283";"1996MM08";"    2365";"    3732";"       1";"     386";"";"";"";"";"";"";"    1759";"";"";"";"";"";"";"       .";"       5";"    2365";"    1620";"     572";"    1048";"     706";"      39";"       .";"";"";"      14";"";"";""
"284";"1996MM09";"    2932";"    4695";"       1";"     455";"";"";"";"";"";"";"    2212";"";"";"";"";"";"";"       .";"      -7";"    2932";"    1732";"     608";"    1124";"    1151";"      49";"       .";"";"";"      16";"";"";""
"285";"1996KW03";"    7663";"   12366";"       3";"    1244";"";"";"";"";"";"";"    5951";"";"";"";"";"";"";"       .";"       1";"    7663";"    4943";"    1696";"    3247";"    2581";"     139";"       .";"";"";"      45";"";"";""
"286";"1996MM10";"    3635";"    6447";"       1";"     578";"";"";"";"";"";"";"    3387";"";"";"";"";"";"";"       .";"      -4";"    3635";"    1903";"     691";"    1212";"    1675";"      57";"       .";"";"";"      17";"";"";""
"287";"1996MM11";"    4793";"    8487";"       1";"     571";"";"";"";"";"";"";"    4268";"";"";"";"";"";"";"       .";"       2";"    4793";"    1926";"     608";"    1318";"    2795";"      72";"       .";"";"";"      24";"";"";""
"288";"1996MM12";"    6412";"   11667";"       1";"     570";"";"";"";"";"";"";"    5836";"";"";"";"";"";"";"       .";"      10";"    6412";"    2107";"     753";"    1354";"    4208";"      97";"       .";"";"";"      25";"";"";""
"289";"1996KW04";"   14840";"   26601";"       3";"    1719";"";"";"";"";"";"";"   13491";"";"";"";"";"";"";"       .";"       8";"   14840";"    5936";"    2052";"    3884";"    8678";"     226";"       .";"";"";"      66";"";"";""
"290";"1996JJ00";"   50282";"   91120";"      12";"    5397";"";"";"";"";"";"";"   46255";"";"";"";"";"";"";"       .";"       8";"   50282";"   21667";"    7535";"   14132";"   27789";"     826";"       .";"";"";"     230";"";"";""
"291";"1997MM01";"    7079";"   12758";"       1";"     599";"";"";"";"";"";"";"    6269";"";"";"";"";"";"";"       .";"     -10";"    7079";"    2233";"     844";"    1389";"    4735";"     111";"       .";"";"";"      12";"";"";""
"292";"1997MM02";"    4669";"    8548";"       1";"     486";"";"";"";"";"";"";"    4367";"";"";"";"";"";"";"       .";"       1";"    4669";"    1710";"     566";"    1144";"    2881";"      78";"       .";"";"";"      14";"";"";""
"293";"1997MM03";"    4189";"    7234";"       1";"     540";"";"";"";"";"";"";"    3587";"";"";"";"";"";"";"       .";"       1";"    4189";"    1761";"     573";"    1188";"    2354";"      74";"       .";"";"";"      10";"";"";""
"294";"1997KW01";"   15937";"   28540";"       3";"    1625";"";"";"";"";"";"";"   14223";"";"";"";"";"";"";"       .";"      -8";"   15937";"    5704";"    1983";"    3721";"    9970";"     263";"       .";"";"";"      36";"";"";""
"295";"1997MM04";"    3853";"    6873";"       1";"     511";"";"";"";"";"";"";"    3526";"";"";"";"";"";"";"       .";"      -6";"    3853";"    1729";"     594";"    1135";"    2056";"      68";"       .";"";"";"       8";"";"";""
"296";"1997MM05";"    3049";"    4654";"       1";"     611";"";"";"";"";"";"";"    2220";"";"";"";"";"";"";"       .";"       3";"    3049";"    1731";"     568";"    1163";"    1261";"      57";"       .";"";"";"       8";"";"";""
"297";"1997MM06";"    2555";"    3989";"       1";"     535";"";"";"";"";"";"";"    1968";"";"";"";"";"";"";"       .";"      -2";"    2555";"    1714";"     608";"    1106";"     777";"      64";"       .";"";"";"       9";"";"";""
"298";"1997KW02";"    9457";"   15516";"       3";"    1657";"";"";"";"";"";"";"    7714";"";"";"";"";"";"";"       .";"      -5";"    9457";"    5174";"    1770";"    3404";"    4094";"     189";"       .";"";"";"      25";"";"";""
"299";"1997MM07";"    2558";"    3760";"       1";"     604";"";"";"";"";"";"";"    1807";"";"";"";"";"";"";"       .";"       0";"    2558";"    1810";"     652";"    1158";"     689";"      59";"       .";"";"";"      11";"";"";""
"300";"1997MM08";"    2462";"    3582";"       1";"     495";"";"";"";"";"";"";"    1621";"";"";"";"";"";"";"       .";"       5";"    2462";"    1819";"     677";"    1142";"     580";"      63";"       .";"";"";"      11";"";"";""
"301";"1997MM09";"    2813";"    4305";"       1";"     482";"";"";"";"";"";"";"    1973";"";"";"";"";"";"";"       .";"      -2";"    2813";"    1877";"     656";"    1221";"     881";"      55";"       .";"";"";"       9";"";"";""
"302";"1997KW03";"    7833";"   11647";"       3";"    1581";"";"";"";"";"";"";"    5401";"";"";"";"";"";"";"       .";"       3";"    7833";"    5506";"    1985";"    3521";"    2150";"     177";"       .";"";"";"      31";"";"";""
"303";"1997MM10";"    4007";"    6359";"       1";"     691";"";"";"";"";"";"";"    3042";"";"";"";"";"";"";"       .";"      -2";"    4007";"    2016";"     639";"    1377";"    1917";"      74";"       .";"";"";"       9";"";"";""
"304";"1997MM11";"    4678";"    8761";"       1";"     662";"";"";"";"";"";"";"    4748";"";"";"";"";"";"";"       .";"       2";"    4678";"    1946";"     619";"    1327";"    2645";"      87";"       .";"";"";"       9";"";"";""
"305";"1997MM12";"    5393";"    9879";"       1";"     627";"";"";"";"";"";"";"    5109";"";"";"";"";"";"";"       .";"      -5";"    5393";"    1989";"     570";"    1419";"    3311";"      93";"       .";"";"";"      26";"";"";""
"306";"1997KW04";"   14078";"   24999";"       3";"    1980";"";"";"";"";"";"";"   12899";"";"";"";"";"";"";"       .";"      -5";"   14078";"    5951";"    1828";"    4123";"    7873";"     254";"       .";"";"";"      44";"";"";""
"307";"1997JJ00";"   47305";"   80702";"      12";"    6843";"";"";"";"";"";"";"   40237";"";"";"";"";"";"";"       .";"     -15";"   47305";"   22335";"    7566";"   14769";"   24087";"     883";"       .";"";"";"     136";"";"";""
"308";"1998MM01";"    5640";"    9915";"       1";"     651";"";"";"";"";"";"";"    4945";"";"";"";"";"";"";"       .";"      18";"    5640";"    2025";"     630";"    1395";"    3521";"      94";"       .";"";"";"      10";"";"";""
"309";"1998MM02";"    4564";"    7745";"       1";"     583";"";"";"";"";"";"";"    3759";"";"";"";"";"";"";"       .";"      -6";"    4564";"    1781";"     537";"    1244";"    2695";"      88";"       .";"";"";"       9";"";"";""
"310";"1998MM03";"    4686";"    7519";"       1";"     660";"";"";"";"";"";"";"    3498";"";"";"";"";"";"";"       .";"       4";"    4686";"    1897";"     605";"    1292";"    2690";"      99";"       .";"";"";"      10";"";"";""
"311";"1998KW01";"   14890";"   25179";"       3";"    1894";"";"";"";"";"";"";"   12202";"";"";"";"";"";"";"       .";"      16";"   14890";"    5703";"    1772";"    3931";"    8906";"     281";"       .";"";"";"      29";"";"";""
"312";"1998MM04";"    3758";"    5666";"       1";"     576";"";"";"";"";"";"";"    2484";"";"";"";"";"";"";"       .";"      -1";"    3758";"    1751";"     553";"    1198";"    1914";"      93";"       .";"";"";"       9";"";"";""
"313";"1998MM05";"    2876";"    4178";"       1";"     643";"";"";"";"";"";"";"    1938";"";"";"";"";"";"";"       .";"      -8";"    2876";"    1745";"     549";"    1196";"    1047";"      84";"       .";"";"";"      25";"";"";""
"314";"1998MM06";"    2518";"    3496";"       1";"     489";"";"";"";"";"";"";"    1467";"";"";"";"";"";"";"       .";"      -1";"    2518";"    1630";"     573";"    1057";"     814";"      74";"       .";"";"";"      11";"";"";""
"315";"1998KW02";"    9152";"   13340";"       3";"    1708";"";"";"";"";"";"";"    5889";"";"";"";"";"";"";"       .";"     -10";"    9152";"    5126";"    1675";"    3451";"    3775";"     251";"       .";"";"";"      45";"";"";""
"316";"1998MM07";"    2543";"    3579";"       1";"     574";"";"";"";"";"";"";"    1614";"";"";"";"";"";"";"       .";"       3";"    2543";"    1688";"     595";"    1093";"     778";"      77";"       .";"";"";"       7";"";"";""
"317";"1998MM08";"    2472";"    3700";"       1";"     346";"";"";"";"";"";"";"    1568";"";"";"";"";"";"";"       .";"      -7";"    2472";"    1651";"     473";"    1178";"     746";"      75";"       .";"";"";"       7";"";"";""
"318";"1998MM09";"    2821";"    4244";"       1";"     472";"";"";"";"";"";"";"    1896";"";"";"";"";"";"";"       .";"       0";"    2821";"    1751";"     562";"    1189";"    1001";"      69";"       .";"";"";"       8";"";"";""
"319";"1998KW03";"    7836";"   11523";"       3";"    1392";"";"";"";"";"";"";"    5078";"";"";"";"";"";"";"       .";"      -4";"    7836";"    5090";"    1630";"    3460";"    2525";"     221";"       .";"";"";"      22";"";"";""
