"ID";"Periods";"TotalSupply_1";"IndigenousProduction_2";"ProductionFromOtherSources_3";"ImportsOfGaseousNaturalGasTotal_4";"ImportsViaNorway_5";"ImportsViaGermany_6";"ImportsViaBelgium_7";"ImportsViaUnitedKingdom_8";"ImportsViaDenmark_9";"ImportsOfLiquefiedNaturalGasLng_10";"ExportsOfGaseousNaturalGasTotal_11";"ExportsToNorway_12";"ExportsToGermany_13";"ExportsToBelgium_14";"ExportsToUnitedKingdom_15";"ExportsToDenmark_16";"ExportsOfLiquefiedNaturalGasLng_17";"Bunkers_18";"StockChange_19";"TotalConsumption_20";"TotalViaTheMainGrid_21";"ElectricityPowerPlants_22";"OtherConsumers_23";"ViaRegionalGrids_24";"ConsumptionByProductionAndTransport_25";"ClosingStock_26";"ClosingStockGaseousGas_27";"ClosingStockLiquefiedNaturalGas_28";"Flaring_29";"StorageCapacityTotal_30";"StorageCapacityGaseousGas_31";"StorageCapacityLiquefiedNaturalGas_32"
"408";"2003KW04";"   14401";"   23367";"       3";"    5804";"";"";"";"";"";"";"   14968";"";"";"";"";"";"";"       .";"     195";"   14401";"    6217";"    2421";"    3796";"    7953";"     231";"       .";"";"";"      14";"";"";""
"409";"2003JJ00";"   47608";"   69062";"      12";"   24147";"";"";"";"";"";"";"   45581";"";"";"";"";"";"";"       .";"     -32";"   47608";"   23284";"    8186";"   15098";"   23583";"     741";"       .";"";"";"      52";"";"";""
"410";"2004MM01";"    6008";"   11087";"       1";"    1364";"";"";"";"";"";"";"    6449";"";"";"";"";"";"";"       .";"       5";"    6008";"    2325";"     833";"    1492";"    3616";"      67";"       .";"";"";"       4";"";"";""
"411";"2004MM02";"    5325";"    9692";"       1";"    1299";"";"";"";"";"";"";"    5667";"";"";"";"";"";"";"       .";"       0";"    5325";"    2192";"     823";"    1369";"    3074";"      59";"       .";"";"";"       4";"";"";""
"412";"2004MM03";"    5011";"    8895";"       1";"    1446";"";"";"";"";"";"";"    5328";"";"";"";"";"";"";"       .";"      -3";"    5011";"    2152";"     846";"    1306";"    2801";"      58";"       .";"";"";"       4";"";"";""
"413";"2004KW01";"   16344";"   29674";"       3";"    4109";"";"";"";"";"";"";"   17444";"";"";"";"";"";"";"       .";"       2";"   16344";"    6669";"    2502";"    4167";"    9491";"     184";"       .";"";"";"      12";"";"";""
"414";"2004MM04";"    3628";"    5423";"       1";"    1533";"";"";"";"";"";"";"    3360";"";"";"";"";"";"";"       .";"      31";"    3628";"    1988";"     748";"    1240";"    1583";"      57";"       .";"";"";"       3";"";"";""
"415";"2004MM05";"    3100";"    4585";"       1";"    1690";"";"";"";"";"";"";"    3175";"";"";"";"";"";"";"       .";"      -1";"    3100";"    1927";"     683";"    1244";"    1117";"      56";"       .";"";"";"       3";"";"";""
"416";"2004MM06";"    2737";"    3521";"       1";"    1667";"";"";"";"";"";"";"    2456";"";"";"";"";"";"";"       .";"       4";"    2737";"    1920";"     641";"    1279";"     769";"      48";"       .";"";"";"       3";"";"";""
"417";"2004KW02";"    9465";"   13529";"       3";"    4890";"";"";"";"";"";"";"    8991";"";"";"";"";"";"";"       .";"      34";"    9465";"    5835";"    2072";"    3763";"    3469";"     161";"       .";"";"";"       9";"";"";""
"418";"2004MM07";"    2875";"    3663";"       1";"    1746";"";"";"";"";"";"";"    2532";"";"";"";"";"";"";"       .";"      -3";"    2875";"    2134";"     629";"    1505";"     693";"      48";"       .";"";"";"       3";"";"";""
"419";"2004MM08";"    2657";"    4030";"       1";"    1359";"";"";"";"";"";"";"    2741";"";"";"";"";"";"";"       .";"       8";"    2657";"    1991";"     655";"    1336";"     619";"      47";"       .";"";"";"       3";"";"";""
"420";"2004MM09";"    2955";"    4875";"       1";"    1256";"";"";"";"";"";"";"    3170";"";"";"";"";"";"";"       .";"      -7";"    2955";"    2011";"     702";"    1309";"     894";"      50";"       .";"";"";"       3";"";"";""
"421";"2004KW03";"    8487";"   12568";"       3";"    4361";"";"";"";"";"";"";"    8443";"";"";"";"";"";"";"       .";"      -2";"    8487";"    6136";"    1986";"    4150";"    2206";"     145";"       .";"";"";"       9";"";"";""
"422";"2004MM10";"    3783";"    6257";"       1";"    1649";"";"";"";"";"";"";"    4124";"";"";"";"";"";"";"       .";"       0";"    3783";"    2170";"     722";"    1448";"    1563";"      50";"       .";"";"";"       3";"";"";""
"423";"2004MM11";"    4783";"    8429";"       1";"    1518";"";"";"";"";"";"";"    5164";"";"";"";"";"";"";"       .";"      -1";"    4783";"    2164";"     681";"    1483";"    2549";"      70";"       .";"";"";"       3";"";"";""
"424";"2004MM12";"    5754";"   11002";"       1";"    1333";"";"";"";"";"";"";"    6576";"";"";"";"";"";"";"       .";"      -6";"    5754";"    2267";"     735";"    1532";"    3412";"      75";"       .";"";"";"       4";"";"";""
"425";"2004KW04";"   14320";"   25688";"       3";"    4500";"";"";"";"";"";"";"   15864";"";"";"";"";"";"";"       .";"      -7";"   14320";"    6601";"    2138";"    4463";"    7524";"     195";"       .";"";"";"      10";"";"";""
"426";"2004JJ00";"   48616";"   81459";"      12";"   17860";"";"";"";"";"";"";"   50742";"";"";"";"";"";"";"       .";"      27";"   48616";"   25241";"    8698";"   16543";"   22690";"     685";"       .";"";"";"      40";"";"";""
"427";"2005MM01";"    5456";"    9260";"       1";"    1854";"";"";"";"";"";"";"    6000";"";"";"";"";"";"";"       .";"     341";"    5456";"    2158";"     741";"    1417";"    3230";"      68";"       .";"";"";"       3";"";"";""
"428";"2005MM02";"    5425";"    8929";"       1";"    1537";"";"";"";"";"";"";"    5704";"";"";"";"";"";"";"       .";"     662";"    5425";"    2027";"     723";"    1304";"    3339";"      59";"       .";"";"";"       3";"";"";""
"429";"2005MM03";"    5015";"    7949";"       1";"    1819";"";"";"";"";"";"";"    5262";"";"";"";"";"";"";"       .";"     508";"    5015";"    2175";"     774";"    1401";"    2782";"      58";"       .";"";"";"       4";"";"";""
"430";"2005KW01";"   15896";"   26138";"       3";"    5210";"";"";"";"";"";"";"   16966";"";"";"";"";"";"";"       .";"    1511";"   15896";"    6360";"    2238";"    4122";"    9351";"     185";"       .";"";"";"      10";"";"";""
"431";"2005MM04";"    3496";"    5648";"       1";"    1813";"";"";"";"";"";"";"    3894";"";"";"";"";"";"";"       .";"     -72";"    3496";"    1883";"     635";"    1248";"    1556";"      57";"       .";"";"";"       3";"";"";""
"432";"2005MM05";"    3202";"    4970";"       1";"    2023";"";"";"";"";"";"";"    3280";"";"";"";"";"";"";"       .";"    -512";"    3202";"    1964";"     718";"    1246";"    1182";"      56";"       .";"";"";"       3";"";"";""
"433";"2005MM06";"    2761";"    4224";"       1";"    1658";"";"";"";"";"";"";"    2885";"";"";"";"";"";"";"       .";"    -237";"    2761";"    1962";"     773";"    1189";"     751";"      48";"       .";"";"";"       3";"";"";""
"434";"2005KW02";"    9459";"   14842";"       3";"    5494";"";"";"";"";"";"";"   10059";"";"";"";"";"";"";"       .";"    -821";"    9459";"    5809";"    2126";"    3683";"    3489";"     161";"       .";"";"";"       9";"";"";""
"435";"2005MM07";"    2587";"    3749";"       1";"    1831";"";"";"";"";"";"";"    2773";"";"";"";"";"";"";"       .";"    -221";"    2587";"    1903";"     689";"    1214";"     636";"      48";"       .";"";"";"       3";"";"";""
"436";"2005MM08";"    2589";"    3538";"       1";"    1814";"";"";"";"";"";"";"    2321";"";"";"";"";"";"";"       .";"    -443";"    2589";"    1837";"     616";"    1221";"     705";"      47";"       .";"";"";"       3";"";"";""
"437";"2005MM09";"    2803";"    3412";"       1";"    1977";"";"";"";"";"";"";"    2308";"";"";"";"";"";"";"       .";"    -279";"    2803";"    1976";"     747";"    1229";"     777";"      50";"       .";"";"";"       3";"";"";""
"438";"2005KW03";"    7979";"   10699";"       3";"    5622";"";"";"";"";"";"";"    7402";"";"";"";"";"";"";"       .";"    -943";"    7979";"    5716";"    2052";"    3664";"    2118";"     145";"       .";"";"";"       9";"";"";""
