"ID";"DutchEconomy";"Periods";"TotalCO2_1";"CO2ExclBiomass_2";"CO2Biomass_3";"N2O_4";"CH4_5";"GreenhouseGasEquivalents_6";"NOx_7";"SO2_8";"NH3_9";"AcidificationEquivalents_10";"CFK12Equivalents_11";"CO_12";"NMVOC_13";"PM10_14"
"50";"1050010";"2008JJ00";"   39642";"   37350";"  2292.1";"     1.0";"    21.3";"   40851";"    56.5";"     0.6";"    12.2";"     2.0";"    12.3";"   430.9";"    88.5";"    12.6"
"51";"1050010";"2009JJ00";"   39470";"   37012";"  2457.6";"     1.1";"    21.1";"   40720";"    54.1";"     0.6";"    12.0";"     1.9";"     9.3";"   427.6";"    86.9";"    12.4"
"52";"1050010";"2010JJ00";"   42744";"   40461";"  2282.8";"     1.1";"    23.3";"   44050";"    53.6";"     0.6";"    12.3";"     1.9";"     6.4";"   425.3";"    85.7";"    12.2"
"53";"1050010";"2011JJ00";"   37655";"   35205";"  2450.6";"     1.1";"    19.6";"   38862";"    49.6";"     0.6";"    12.5";"     1.8";"     3.4";"   420.5";"    83.0";"    11.8"
"54";"1050010";"2012JJ00";"   38344";"   35917";"  2427.7";"     1.0";"    20.3";"   39554";"    47.8";"     0.6";"    12.6";"     1.8";"     0.4";"   405.1";"    82.4";"    11.6"
"55";"1050010";"2013JJ00";"   39299";"   36858";"  2441.0";"     1.0";"    21.1";"   40528";"    46.7";"     0.6";"    13.0";"     1.8";"     0.0";"   395.2";"    81.7";"    11.4"
"56";"1050010";"2014JJ00";"   33958";"   31422";"  2536.2";"     1.0";"    17.3";"   35065";"    42.9";"     0.5";"    12.3";"     1.7";"     0.0";"   379.3";"    79.9";"    11.2"
"57";"1050010";"2015JJ00";"   34972";"   32531";"  2440.9";"     1.0";"    17.9";"   36106";"    42.8";"     0.5";"    12.4";"     1.7";"     0.0";"   373.2";"    78.4";"    10.8"
"58";"1050010";"2016JJ00";"   35736";"   33412";"  2323.8";"     1.0";"    18.3";"   36878";"    40.7";"     0.5";"    12.5";"     1.6";"     0.0";"   366.0";"    77.8";"    10.5"
"59";"1050010";"2017JJ00";"   35219";"   32804";"  2414.6";"     1.1";"    17.8";"   36373";"    39.7";"     0.5";"    12.4";"     1.6";"     0.0";"   366.7";"    77.3";"    10.5"
"60";"1050010";"2018JJ00";"   35079";"   32353";"  2726.2";"     1.1";"    16.7";"   36186";"    37.7";"     0.6";"    12.4";"     1.6";"     0.0";"   342.1";"    75.9";"    10.7"
"61";"1050010";"2019JJ00";"   34473";"   31580";"  2893.6";"     1.1";"    17.6";"   35613";"    35.8";"     0.6";"    12.4";"     1.5";"     0.0";"   325.8";"    74.9";"    10.2"
"62";"1050010";"2020JJ00";"   31022";"   28308";"  2714.1";"     1.0";"    16.4";"   32063";"    29.2";"     0.5";"    11.9";"     1.3";"     0.0";"   285.0";"   109.4";"     9.3"
"63";"1050010";"2021JJ00";"   33168";"   30125";"  3042.8";"     1.0";"    17.9";"   34247";"    29.7";"     0.5";"    11.8";"     1.4";"     0.0";"   260.3";"   108.6";"     7.5"
"64";"B000580";"1990JJ00";"   14395";"   14395";"     0.0";"     0.2";"     6.1";"   14622";"   131.1";"     4.8";"     0.8";"     3.0";"     0.0";"   582.0";"   144.8";"     7.0"
"65";"B000580";"1991JJ00";"   14504";"   14504";"     0.0";"     0.3";"     5.1";"   14725";"   122.4";"     4.7";"     1.0";"     2.9";"     0.0";"   509.2";"   122.3";"     6.4"
"66";"B000580";"1992JJ00";"   15017";"   15017";"     0.0";"     0.4";"     4.9";"   15254";"   114.0";"     4.6";"     1.3";"     2.7";"     0.0";"   485.7";"   113.6";"     6.2"
"67";"B000580";"1993JJ00";"   15116";"   15116";"     0.0";"     0.5";"     4.5";"   15362";"   104.4";"     4.5";"     1.4";"     2.5";"     0.0";"   454.5";"   105.5";"     5.7"
"68";"B000580";"1994JJ00";"   15561";"   15561";"     0.0";"     0.5";"     4.3";"   15823";"    97.1";"     4.3";"     1.6";"     2.3";"     0.0";"   432.6";"    98.9";"     5.5"
"69";"B000580";"1995JJ00";"   15798";"   15798";"     0.0";"     0.6";"     4.2";"   16075";"    90.7";"     3.9";"     1.9";"     2.2";"     0.0";"   427.0";"    93.0";"     5.3"
"70";"B000580";"1996JJ00";"   15847";"   15847";"     0.0";"     0.6";"     4.0";"   16121";"    85.1";"     3.0";"     2.3";"     2.1";"     0.0";"   413.0";"    86.0";"     5.1"
"71";"B000580";"1997JJ00";"   16452";"   16452";"     0.0";"     0.6";"     3.8";"   16728";"    80.2";"     1.7";"     2.7";"     2.0";"     0.0";"   400.3";"    80.1";"     4.9"
"72";"B000580";"1998JJ00";"   16504";"   16504";"     0.0";"     0.6";"     3.6";"   16770";"    73.7";"     1.8";"     2.9";"     1.8";"     0.0";"   378.4";"    73.1";"     4.7"
"73";"B000580";"1999JJ00";"   17146";"   17146";"     0.0";"     0.6";"     3.4";"   17408";"    70.6";"     1.9";"     3.3";"     1.8";"     0.0";"   372.4";"    67.0";"     4.7"
"74";"B000580";"2000JJ00";"   17343";"   17343";"     0.0";"     0.7";"     3.2";"   17607";"    64.7";"     1.4";"     4.0";"     1.7";"     0.0";"   362.4";"    58.1";"     4.5"
"75";"B000580";"2001JJ00";"   16991";"   16991";"     0.0";"     0.6";"     3.0";"   17242";"    58.4";"     0.6";"     4.1";"     1.5";"     0.0";"   354.6";"    52.2";"     4.3"
"76";"B000580";"2002JJ00";"   17261";"   17261";"     0.0";"     0.6";"     3.0";"   17508";"    54.9";"     0.7";"     4.3";"     1.5";"     0.0";"   358.1";"    48.8";"     4.1"
"77";"B000580";"2003JJ00";"   17431";"   17431";"     0.0";"     0.6";"     2.9";"   17671";"    51.4";"     0.4";"     4.4";"     1.4";"     0.0";"   361.1";"    45.7";"     4.0"
"78";"B000580";"2004JJ00";"   17754";"   17754";"     0.0";"     0.6";"     2.9";"   17988";"    49.1";"     0.5";"     4.5";"     1.3";"     0.0";"   360.9";"    43.5";"     3.9"
"79";"B000580";"2005JJ00";"   17574";"   17574";"     0.0";"     0.6";"     2.8";"   17818";"    46.4";"     0.3";"     4.5";"     1.3";"     0.0";"   353.1";"    41.1";"     3.8"
"80";"B000580";"2006JJ00";"   17401";"   17340";"    60.6";"     0.7";"     2.8";"   17653";"    44.0";"     0.3";"     4.4";"     1.2";"     0.0";"   347.0";"    39.0";"     3.6"
"81";"B000580";"2007JJ00";"   17352";"   16909";"   443.2";"     0.7";"     2.8";"   17611";"    43.0";"     0.3";"     4.4";"     1.2";"     0.0";"   344.7";"    37.2";"     3.5"
"82";"B000580";"2008JJ00";"   17338";"   16930";"   407.4";"     0.7";"     2.8";"   17604";"    41.6";"     0.2";"     4.2";"     1.2";"     0.0";"   341.6";"    37.5";"     3.4"
"83";"B000580";"2009JJ00";"   17232";"   16680";"   551.3";"     0.7";"     2.8";"   17497";"    39.5";"     0.2";"     4.1";"     1.1";"     0.0";"   338.2";"    36.0";"     3.2"
"84";"B000580";"2010JJ00";"   17169";"   16832";"   336.9";"     0.7";"     2.7";"   17432";"    37.9";"     0.1";"     4.0";"     1.1";"     0.0";"   334.6";"    34.4";"     3.1"
"85";"B000580";"2011JJ00";"   17231";"   16764";"   467.5";"     0.7";"     2.7";"   17492";"    37.2";"     0.1";"     3.9";"     1.0";"     0.0";"   332.4";"    33.3";"     2.9"
"86";"B000580";"2012JJ00";"   16724";"   16218";"   506.3";"     0.7";"     2.6";"   16972";"    35.4";"     0.1";"     3.7";"     1.0";"     0.0";"   318.8";"    31.4";"     2.6"
"87";"B000580";"2013JJ00";"   16470";"   15960";"   510.4";"     0.7";"     2.6";"   16727";"    34.3";"     0.1";"     3.6";"     1.0";"     0.0";"   309.6";"    30.7";"     2.5"
"88";"B000580";"2014JJ00";"   16363";"   15736";"   626.6";"     0.7";"     2.6";"   16610";"    32.9";"     0.1";"     3.5";"     0.9";"     0.0";"   297.4";"    29.5";"     2.3"
"89";"B000580";"2015JJ00";"   16349";"   15814";"   534.7";"     0.7";"     2.6";"   16604";"    32.9";"     0.1";"     3.4";"     0.9";"     0.0";"   292.9";"    28.5";"     2.3"
"90";"B000580";"2016JJ00";"   16441";"   16014";"   426.9";"     0.7";"     2.7";"   16695";"    31.2";"     0.1";"     3.4";"     0.9";"     0.0";"   287.4";"    28.2";"     2.2"
"91";"B000580";"2017JJ00";"   16416";"   15881";"   535.0";"     0.8";"     2.7";"   16700";"    31.0";"     0.1";"     3.5";"     0.9";"     0.0";"   290.4";"    27.9";"     2.2"
"92";"B000580";"2018JJ00";"   16395";"   15533";"   861.7";"     0.7";"     3.1";"   16679";"    29.3";"     0.1";"     3.3";"     0.8";"     0.0";"   267.9";"    26.3";"     2.1"
"93";"B000580";"2019JJ00";"   16378";"   15310";"  1067.3";"     0.8";"     3.2";"   16674";"    27.7";"     0.1";"     3.3";"     0.8";"     0.0";"   255.0";"    25.3";"     2.1"
"94";"B000580";"2020JJ00";"   13681";"   12635";"  1046.0";"     0.7";"     2.7";"   13933";"    21.5";"     0.1";"     2.9";"     0.6";"     1.0";"   217.4";"    22.7";"     1.7"
"95";"B000580";"2021JJ00";"   13568";"   12363";"  1205.0";"     0.7";"     2.6";"   13822";"    21.3";"     0.1";"     2.9";"     0.6";"     1.0";"   193.2";"    22.0";"     1.8"
